,time,A,ACN,ADBE,ADI,ADP,ADSK,AMAT,AMD,ANET,ANSS,AVGO,BR,CDAY,CDNS,CIEN,CRM,CSCO,CTSH,ENPH,EPAM,FAST,FDS,FFIV,FI,FICO,FIS,FLT,FTNT,GEN,GLW,GPN,INTC,INTU,IT,JBL,JKHY,JNPR,KEYS,KLAC,LDOS,LHX,LRCX,MA,MCHP,MPWR,MSFT,MSI,MU,NOW,NVDA,NXPI,ON,ORCL,PANW,PAYC,PAYX,PTC,PYPL,QCOM,QRVO,SWKS,TER,TRMB,TXN,TYL,Ticker,V,ZBRA
268,03/08/2021,116.08,249.39,421.2,144.06,180.42,253.1,105.68,73.96,66.9575,293.55,421.25,141.82,80.95,119.68,49.2,207.72,47.51,72.69,132.06,339.12,44.66,315.9,188.24,121.5,429.86,144.52,283.67,33.242,20.97,37.61,203.33,59.85,370.42,186.6,43.66,151.0,23.96,132.23,274.04,92.0,191.04,502.61,371.33,68.375,302.05,227.39,179.21,85.05,464.05,115.9325,171.0,35.99,72.16,110.493333333333,366.23,93.2,118.85,226.09,123.2,162.9,161.2,104.2,69.54,162.11,398.28,,220.27,460.64
269,03/08/2022,129.32,301.62,431.53,148.52,205.38,195.95,124.15,105.53,114.6,298.95,575.95,145.08,63.57,145.8,58.22,192.08,54.4,87.48,175.99,186.75,54.16,407.17,194.59,94.2,468.91,86.25,228.21,55.366,27.38,36.97,123.21,47.5,442.21,270.44,53.22,177.3,32.88,146.29,321.82,102.2,261.86,490.37,314.33,68.53,394.44,275.85,214.13,77.16,518.2,215.14,176.9,55.79,73.33,175.05,294.58,118.43,104.45,94.9,150.76,129.14,132.08,107.55,64.43,167.34,404.14,,191.71,383.92
270,03/08/2023,140.9,263.66,345.84,186.57,221.97,204.51,118.65,85.37,148.4,302.63,632.26,142.43,72.39,199.3,51.02,182.95,49.11,61.53,218.31,306.64,52.95,408.04,144.9,117.07,700.54,62.92,208.95,61.79,18.35,34.38,108.91,25.98,416.67,338.32,84.84,164.27,31.3,158.38,387.41,94.06,207.93,493.4,359.03,84.52,504.77,253.7,267.59,56.89,446.97,241.81,182.51,83.1,88.49,188.38,288.83,112.69,122.66,75.84,121.2,101.33,114.72,103.25,51.1,176.22,326.7,,222.19,307.07
271,03/09/2018,71.13,161.51,221.11,94.73,118.83,139.36,61.61,11.7,73.7875,171.18,253.78,108.35,,39.68,27.05,127.41,45.37,84.71,3.87,122.52,28.985,213.61,147.48,74.115,178.09,100.77,209.4,10.888,27.85,29.93,117.22,52.19,177.17,122.81,28.19,123.93,26.43,54.07,121.15,69.42,157.72,224.95,183.24,49.485,124.87,96.54,109.09,54.59,172.76,61.3325,123.68,26.59,52.97,62.8366666666667,109.96,66.52,80.72,80.71,63.03,85.51,113.56,49.4,39.45,111.53,212.2,,124.51,141.18
272,03/09/2020,70.75,164.11,305.79,97.51,150.92,160.05,52.07,43.27,46.4225,222.41,247.72,91.52,61.91,59.75,38.72,151.21,37.96,53.96,43.38,206.47,31.19,261.86,111.69,100.03,315.86,130.04,222.59,17.428,17.19,22.84,164.75,50.85,260.04,110.12,29.17,151.63,19.94,89.2,144.92,97.53,186.58,267.6,262.01,38.98,148.51,150.62,165.69,45.97,292.09,61.36,101.97,15.53,46.01,52.9266666666667,240.84,72.46,60.29,101.63,72.64,89.95,88.32,55.08,36.14,105.04,301.98,,171.13,185.26
273,03/09/2021,119.84,254.37,439.18,149.43,183.06,263.97,114.22,78.53,69.0075,308,443.6,141.98,85.37,127.3,50.48,211.53,47.89,74.39,148.7,351.45,45.69,312.49,192.94,122.5,457.17,142.84,281.9,35.154,21.53,38.42,205.17,62.67,384.58,183.61,44.56,148.89,24.14,136.31,294.1,93.26,187.97,543.51,376.52,72.73,323.86,233.78,177.03,89.3,488.95,125.2025,183.82,37.93,72.64,114.14,379.26,94.55,127.55,241.76,129.11,170.9,172.41,113.34,70.37,170.36,403.35,,220.36,468.35
274,03/09/2022,133.26,309.42,450.87,153.62,209.7,204.88,128.62,111.05,120.61,312.33,597.02,147.07,66.04,150.89,59.37,203.16,55.92,87.96,179.87,198.41,54.76,414.96,199.6,96.27,485.92,91.98,230.25,57.486,27.73,37.63,128.1,47.63,464.74,283.2,55.66,177.05,33.69,151.05,339.56,102.89,255.53,517.31,328.13,70.88,418.16,288.5,221.7,79.44,559.58,230.14,183.35,58.43,76.1,184.97,311.21,122.3,109.3,100.22,157.11,129.36,134.16,111.75,67.71,172.46,418.65,,199.76,399.11
275,03/09/2023,138.93,259.76,338.37,183.56,218.98,200.49,117.04,84.03,148.65,300.22,622.52,141.16,70.68,196.4,49.64,178.72,48.81,60.91,215.85,296.13,52.1,406.03,141.27,115.41,696.43,59.76,204.68,59.95,17.74,33.95,105.21,26.44,404.58,332.32,83.37,162.81,31.06,157.42,378.47,92.74,204.39,490.28,354.44,83.26,492.67,252.32,265.18,55.6,428.5,234.36,179.83,81.41,86.87,184.42,285.75,111.05,120.56,75.93,117.22,97.54,113.37,102.14,49.76,173.44,318.34,,220.01,296.91
276,03/10/2020,72.91,174.56,332.38,102.44,154.42,164.48,56.17,45.38,49.99,229.12,262.9,99.49,62.83,62.92,40.52,161.34,40.08,55.78,45.59,218.32,33.6,270.62,117.88,107.03,336.56,140.9,237.67,18.144,17.94,24.18,181.77,53.98,269.66,114.11,31.3,163.43,21.35,94.83,154.57,102.79,196.12,287.57,280.57,40.74,163.62,160.92,170.73,47.86,312.8,65.27,106.85,16.89,48.58,55.8233333333333,239.48,76.71,60.9,109.74,78.89,96.0,95.79,59.01,35.67,112.12,299.14,,182.6,202.19
277,03/10/2021,119.99,257.14,437.01,147.11,182.07,263.64,112.68,77.52,68.0225,310.09,437.59,142.38,85.29,126.88,50.85,211.96,48.29,76.02,152.43,353.24,46.15,312.29,191.7,123.86,458.73,145.52,285.37,36.092,21.01,38.97,209.56,62.25,382.82,184.03,45.33,149.47,24.69,135.28,283.45,94.47,190.99,518.7,381.7,70.66,323.41,232.42,177.76,85.41,474.0,124.6825,180.43,37.55,72.12,111.563333333333,377.74,94.7,130.99,242.07,127.87,165.37,167.66,108.91,70.87,169.42,400.82,,223.17,470.51
