,date,ALGN,AMGN,BAX,BDX,BIIB,BIO,BSX,CAH,CI,CNC,COO,COR,CRL,CTLT,DGX,DVA,DXCM,ELV,EW,GEHC,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,LH,MCK,MDNAF,MDT,MOH,MTD,PODD,REGN,RVTY,STE,SYK,TECH,TMO,Ticker,UBER,UHS,UNH,VRTX,WAT,WST,XRAY,ZBH
1379,11/30/2018,229.89,208.25,68.55,246.585365853659,333.72,274.46,37.67,54.83,223.38,71.125,278.83,88.9,134.85,39.65,88.57,66.06,32.3975,290.07,54.0033333333333,,71.94,143.99,44.41,69.9607843137255,329.47,203.76,337.5,64.25,125.07,176.956666666667,125.120274914089,124.5,1.05,97.53,139.71,636.66,83.93,365.65,87.06,119.08,175.46,40.355,249.55,,,137.99,281.36,180.79,198.58,109.56,37.78,113.611650485437
1380,11/30/2020,481.29,222.04,76.07,229.112195121951,240.17,538.5,33.15,54.59,209.14,61.65,335.22,103.11,234.52,96.14,123.98,109.85,79.92,311.52,83.89,,60.67,150.11,69.13,64.31,400.52,460.98,322.09,84.54,168.99,242.016666666667,171.683848797251,179.91,3.86,113.7,204.13,1150.04,257.71,516.03,133.0,193.81,233.4,75.8275,464.98,,49.66,130.58,336.34,227.75,232.01,275.16,50.89,144.776699029126
1381,11/30/2021,611.53,198.88,74.57,231.356097560976,235.74,753.2,38.07,46.23,191.9,71.41,376.47,115.75,365.87,128.66,148.68,94.5,140.6475,406.23,107.31,,68.93,225.59,74.73,71.06,419.71,608.07,365.33,67.72,259.13,324.34,245.128865979381,216.76,1.88,106.7,285.18,1514.13,288.44,636.53,182.16,218.53,236.63,118.0075,632.83,,38.0,118.73,444.22,186.94,328.07,442.66,48.74,116.116504854369
1382,11/30/2022,196.66,286.4,56.53,249.34,305.17,414.71,45.27,80.17,328.89,87.05,316.35,170.69,228.57,50.13,151.83,73.73,116.28,532.92,77.25,,87.83,240.22,76.16,80.92,549.9,425.87,218.08,79.67,218.02,270.39,206.786941580756,381.68,0.53,79.04,336.77,1469.56,299.37,751.7,139.73,185.74,233.89,84.99,560.22,,29.14,130.85,547.76,316.4,346.6,234.66,30.26,120.1
1383,11/30/2023,213.8,269.64,36.08,236.18,234.08,304.92,55.89,107.08,262.88,73.68,336.92,203.37,197.08,38.85,137.23,101.46,115.52,479.49,67.71,68.46,76.6,250.48,71.3,66.73,484.86,465.82,101.95,54.34,214.1,310.84,216.91,470.56,0.36,79.27,365.56,1091.93,189.09,823.81,88.9,200.94,296.33,62.9,495.76,,56.38,137.48,552.97,354.81,280.61,350.76,31.75,116.31
1384,12/01/2020,500.1,225.08,75.51,232.829268292683,243.16,557.28,33.65,54.03,207.51,62.87,334.04,102.19,237.26,95.77,125.68,108.59,81.93,313.9,83.88,,61.12,151.91,69.63,64.91,405.72,467.86,334.34,85.42,171.23,244.55,173.07560137457,179.0,3.85,112.14,207.2,1160.09,262.57,514.07,137.2,193.93,231.0,76.235,471.1,,49.63,130.84,341.19,230.3,234.19,272.01,50.61,141.844660194175
1385,12/01/2021,602.29,200.8,75.08,235.775609756098,229.5,755.56,38.14,45.87,194.72,70.18,373.53,114.08,361.15,127.31,151.24,94.75,137.0875,404.65,107.43,,68.93,225.61,73.06,70.34,417.62,599.45,357.66,64.96,259.25,319.93,245.231958762887,215.41,1.8,105.47,282.28,1520.45,283.46,630.59,185.14,215.64,239.1,115.485,626.15,,36.02,116.39,444.34,205.0,328.5,435.41,48.31,116.300970873786
1386,12/01/2022,201.77,285.94,52.38,250.83,301.85,418.04,46.12,79.26,323.45,85.81,326.62,171.63,226.2,52.23,152.61,73.23,118.03,525.25,77.56,,87.9,238.47,76.99,82.95,548.37,439.17,220.86,80.68,220.55,274.49,207.70618556701,379.72,0.584,79.25,334.83,1490.33,308.0,761.24,141.75,192.31,240.77,86.41,564.56,,28.34,130.2,536.91,320.76,346.93,242.02,31.44,123.35
1387,12/01/2023,220.45,272.45,36.55,238.25,234.64,307,56.14,107.16,269.02,74.88,341.08,204.09,201.68,40.15,136.17,104.31,116.62,483.12,68.36,69.41,77.65,252.36,71.15,69.54,495.21,482.6,109.79,54.02,216.91,315.2,218.97,464.65,0.329,79.99,362.76,1104.47,192.19,814.86,91.28,203.51,297.79,64.57,496.13,,57.35,137.7,547.16,351.16,288.85,351.79,32.55,117.97
1388,12/02/2019,274.34,233.48,81.86,252.712195121951,292.39,371.68,42.72,54.64,196.94,60.18,311.78,87.83,144.71,51.43,106.5,71.93,55.98,287.43,80.95,,66.12,138.49,51.54,69.08,338.25,251.3,319.67,94.47,143.94,195.793333333333,148.281786941581,143.51,1.05,110.91,135.11,723.96,181.9,366.08,92.15,150.24,202.33,54.4675,313.04,,28.98,139.82,279.66,220.79,223.11,149.43,56.7,140.252427184466
1389,12/02/2020,505.48,226.56,76.35,235.970731707317,246.92,549.6,34.15,55.65,212.01,63.84,334.61,103.12,235.46,93.21,124.38,108.36,83.3,318.45,84.47,,61.13,152.6,70.86,66.49,405.75,462.59,340.82,82.27,170.04,250.426666666667,170.824742268041,180.85,3.935,113.6,208.04,1139.75,255.07,505.13,138.58,192.8,234.26,74.5825,478.89,,53.09,132.01,347.56,226.7,235.12,275.39,53.36,143.543689320388
